Date,Predicted_Close
2023-12-19,144.9745281839884
2023-12-20,145.00791497913235
2023-12-21,145.04130177427623
2023-12-22,145.07468856942018
2023-12-23,145.10807536456406
2023-12-24,145.141462159708
2023-12-25,145.17484895485188
2023-12-26,145.20823574999582
2023-12-27,145.2416225451397
2023-12-28,145.27500934028365
2023-12-29,145.30839613542753
2023-12-30,145.34178293057147
2023-12-31,145.37516972571535
2024-01-01,145.4085565208593
2024-01-02,145.44194331600318
2024-01-03,145.47533011114712
2024-01-04,145.508716906291
2024-01-05,145.54210370143494
2024-01-06,145.57549049657888
2024-01-07,145.60887729172276
2024-01-08,145.6422640868667
2024-01-09,145.6756508820106
2024-01-10,145.70903767715453
2024-01-11,145.7424244722984
2024-01-12,145.77581126744235
2024-01-13,145.80919806258623
2024-01-14,145.84258485773017
2024-01-15,145.87597165287406
2024-01-16,145.909358448018
2024-01-17,145.94274524316188
2024-01-18,145.97613203830582
2024-01-19,146.0095188334497
2024-01-20,146.04290562859364
2024-01-21,146.07629242373753
2024-01-22,146.10967921888147
2024-01-23,146.14306601402535
2024-01-24,146.1764528091693
2024-01-25,146.20983960431317
2024-01-26,146.24322639945711
2024-01-27,146.276613194601
2024-01-28,146.30999998974494
2024-01-29,146.34338678488882
2024-01-30,146.37677358003276
2024-01-31,146.41016037517664
2024-02-01,146.44354717032058
2024-02-02,146.47693396546453
2024-02-03,146.5103207606084
2024-02-04,146.54370755575235
2024-02-05,146.57709435089623
2024-02-06,146.61048114604017
2024-02-07,146.64386794118406
2024-02-08,146.677254736328
2024-02-09,146.71064153147188
2024-02-10,146.74402832661582
2024-02-11,146.7774151217597
2024-02-12,146.81080191690364
2024-02-13,146.84418871204753
2024-02-14,146.87757550719147
2024-02-15,146.91096230233535
2024-02-16,146.9443490974793
2024-02-17,146.97773589262317
2024-02-18,147.0111226877671
2024-02-19,147.044509482911
2024-02-20,147.07789627805494
2024-02-21,147.11128307319882
2024-02-22,147.14466986834276
2024-02-23,147.17805666348664
2024-02-24,147.21144345863058
2024-02-25,147.24483025377447
2024-02-26,147.2782170489184
2024-02-27,147.3116038440623
2024-02-28,147.34499063920623
2024-02-29,147.37837743435017
2024-03-01,147.41176422949405
2024-03-02,147.445151024638
2024-03-03,147.47853781978188
2024-03-04,147.51192461492582
2024-03-05,147.5453114100697
2024-03-06,147.57869820521364
2024-03-07,147.61208500035752
2024-03-08,147.64547179550146
2024-03-09,147.67885859064535
2024-03-10,147.7122453857893
2024-03-11,147.74563218093317
2024-03-12,147.7790189760771
2024-03-13,147.812405771221
2024-03-14,147.84579256636493
2024-03-15,147.87917936150882
2024-03-16,147.91256615665276
2024-03-17,147.94595295179664
2024-03-18,147.97933974694058
2024-03-19,148.01272654208447
2024-03-20,148.0461133372284
2024-03-21,148.0795001323723
2024-03-22,148.11288692751623
2024-03-23,148.1462737226601
2024-03-24,148.17966051780405
2024-03-25,148.21304731294794
2024-03-26,148.24643410809188
2024-03-27,148.27982090323582
2024-03-28,148.3132076983797
2024-03-29,148.34659449352364
2024-03-30,148.37998128866752
2024-03-31,148.41336808381146
2024-04-01,148.44675487895535
2024-04-02,148.4801416740993
2024-04-03,148.51352846924317
2024-04-04,148.5469152643871
2024-04-05,148.580302059531
2024-04-06,148.61368885467493
2024-04-07,148.64707564981882
2024-04-08,148.68046244496276
2024-04-09,148.71384924010664
2024-04-10,148.74723603525058
2024-04-11,148.78062283039446
2024-04-12,148.8140096255384
2024-04-13,148.8473964206823
2024-04-14,148.88078321582623
